(0, 1) (2, 3) (4, 5) (6, 8) (7, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/831
(0, 1) (2, 5) (3, 10) (4, 8) (6, 11) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/899
(0, 1) (2, 5) (3, 11) (4, 8) (6, 10) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/270
(0, 1) (2, 6) (3, 7) (4, 5) (8, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/562
(0, 1) (2, 6) (3, 7) (4, 8) (5, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/613
(0, 1) (2, 6) (3, 7) (4, 9) (5, 8) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/887
(0, 1) (2, 6) (3, 8) (4, 11) (5, 7) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/936
(0, 1) (2, 6) (3, 8) (4, 11) (5, 9) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/651
(0, 1) (2, 6) (3, 9) (4, 11) (5, 7) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/271
(0, 1) (2, 6) (3, 10) (4, 8) (5, 7) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/865
(0, 1) (2, 6) (3, 11) (4, 7) (5, 8) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/287
(0, 1) (2, 6) (3, 11) (4, 7) (5, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/609
(0, 1) (2, 7) (3, 4) (5, 9) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/454
(0, 1) (2, 7) (3, 6) (4, 11) (5, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/204
(0, 1) (2, 7) (3, 8) (4, 9) (5, 11) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/939
(0, 1) (2, 7) (3, 9) (4, 5) (6, 8) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/199
(0, 1) (2, 7) (3, 9) (4, 5) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/369
(0, 1) (2, 7) (3, 9) (4, 8) (5, 6) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/399
(0, 1) (2, 7) (3, 9) (4, 11) (5, 6) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/560
(0, 1) (2, 7) (3, 10) (4, 8) (5, 6) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/554
(0, 1) (2, 7) (3, 11) (4, 9) (5, 8) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/992
(0, 1) (2, 8) (3, 4) (5, 6) (7, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/791
(0, 1) (2, 8) (3, 5) (4, 7) (6, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/514
(0, 1) (2, 8) (3, 5) (4, 7) (6, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/813
(0, 1) (2, 8) (3, 6) (4, 10) (5, 9) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/451
(0, 1) (2, 8) (3, 7) (4, 11) (5, 10) (6, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/617
(0, 1) (2, 8) (3, 10) (4, 6) (5, 7) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/307
(0, 1) (2, 8) (3, 10) (4, 9) (5, 6) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/278
(0, 1) (2, 8) (3, 10) (4, 11) (5, 6) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/620
(0, 1) (2, 8) (3, 11) (4, 5) (6, 9) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/236
(0, 1) (2, 9) (3, 4) (5, 7) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/243
(0, 1) (2, 9) (3, 4) (5, 8) (6, 10) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/426
(0, 1) (2, 9) (3, 4) (5, 11) (6, 10) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/241
(0, 1) (2, 9) (3, 5) (4, 10) (6, 8) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/668
(0, 1) (2, 9) (3, 6) (4, 10) (5, 11) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/461
(0, 1) (2, 9) (3, 6) (4, 11) (5, 7) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/372
(0, 1) (2, 9) (3, 7) (4, 6) (5, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/178
(0, 1) (2, 9) (3, 11) (4, 7) (5, 10) (6, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/269
(0, 1) (2, 9) (3, 11) (4, 10) (5, 8) (6, 7) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/357
(0, 1) (2, 10) (3, 5) (4, 7) (6, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/830
(0, 1) (2, 10) (3, 6) (4, 5) (7, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/751
(0, 1) (2, 10) (3, 6) (4, 8) (5, 9) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/246
(0, 1) (2, 10) (3, 7) (4, 6) (5, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/507
(0, 1) (2, 10) (3, 7) (4, 8) (5, 6) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/784
(0, 1) (2, 10) (3, 8) (4, 5) (6, 9) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/310
(0, 1) (2, 10) (3, 9) (4, 7) (5, 6) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/526
(0, 1) (2, 10) (3, 9) (4, 8) (5, 6) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/441
(0, 1) (2, 10) (3, 9) (4, 8) (5, 11) (6, 7) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/771
(0, 1) (2, 11) (3, 4) (5, 9) (6, 7) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/927
(0, 1) (2, 11) (3, 6) (4, 10) (5, 8) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/485
(0, 1) (2, 11) (3, 7) (4, 10) (5, 9) (6, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/214
(0, 1) (2, 11) (3, 8) (4, 7) (5, 9) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/842
(0, 1) (2, 11) (3, 10) (4, 9) (5, 6) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/836
(0, 1) (2, 11) (3, 10) (4, 9) (5, 7) (6, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/566
(0, 1) (2, 11) (3, 10) (4, 9) (5, 8) (6, 7) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/156
(0, 2) (1, 3) (4, 6) (5, 10) (7, 8) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/394
(0, 2) (1, 3) (4, 7) (5, 8) (6, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/605
(0, 2) (1, 3) (4, 7) (5, 10) (6, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/643
(0, 2) (1, 3) (4, 11) (5, 10) (6, 7) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/929
(0, 2) (1, 4) (3, 5) (6, 11) (7, 8) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/385
(0, 2) (1, 4) (3, 7) (5, 9) (6, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/759
(0, 2) (1, 4) (3, 10) (5, 6) (7, 9) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/886
(0, 2) (1, 4) (3, 10) (5, 8) (6, 7) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/327
(0, 2) (1, 4) (3, 10) (5, 9) (6, 11) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/332
(0, 2) (1, 5) (3, 4) (6, 9) (7, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/311
(0, 2) (1, 5) (3, 4) (6, 9) (7, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/180
(0, 2) (1, 5) (3, 8) (4, 11) (6, 10) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/980
(0, 2) (1, 5) (3, 10) (4, 8) (6, 9) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/697
(0, 2) (1, 5) (3, 10) (4, 11) (6, 8) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/785
(0, 2) (1, 5) (3, 11) (4, 7) (6, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/114
(0, 2) (1, 6) (3, 5) (4, 8) (7, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/395
(0, 2) (1, 6) (3, 5) (4, 10) (7, 8) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/695
(0, 2) (1, 6) (3, 7) (4, 8) (5, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/690
(0, 2) (1, 6) (3, 7) (4, 8) (5, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/731
(0, 2) (1, 6) (3, 7) (4, 11) (5, 8) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/505
(0, 2) (1, 6) (3, 8) (4, 5) (7, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/169
(0, 2) (1, 6) (3, 8) (4, 10) (5, 7) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/355
(0, 2) (1, 6) (3, 8) (4, 11) (5, 7) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/175
(0, 2) (1, 6) (3, 9) (4, 7) (5, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/917
(0, 2) (1, 6) (3, 9) (4, 8) (5, 10) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/905
(0, 2) (1, 6) (3, 10) (4, 5) (7, 9) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/187
(0, 2) (1, 6) (3, 10) (4, 9) (5, 7) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/248
(0, 2) (1, 6) (3, 11) (4, 9) (5, 7) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/986
(0, 2) (1, 6) (3, 11) (4, 10) (5, 8) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/320
(0, 2) (1, 7) (3, 5) (4, 9) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/589
(0, 2) (1, 7) (3, 5) (4, 11) (6, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/892
(0, 2) (1, 7) (3, 6) (4, 8) (5, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/914
(0, 2) (1, 7) (3, 6) (4, 9) (5, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/149
(0, 2) (1, 7) (3, 6) (4, 11) (5, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/951
(0, 2) (1, 7) (3, 8) (4, 5) (6, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/908
(0, 2) (1, 7) (3, 10) (4, 6) (5, 9) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/812
(0, 2) (1, 7) (3, 10) (4, 9) (5, 6) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/672
(0, 2) (1, 7) (3, 11) (4, 8) (5, 6) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/122
(0, 2) (1, 7) (3, 11) (4, 8) (5, 9) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/797
(0, 2) (1, 8) (3, 4) (5, 9) (6, 7) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/408
(0, 2) (1, 8) (3, 4) (5, 11) (6, 7) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/129
(0, 2) (1, 8) (3, 5) (4, 11) (6, 10) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/367
(0, 2) (1, 8) (3, 6) (4, 7) (5, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/382
(0, 2) (1, 8) (3, 7) (4, 5) (6, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/500
(0, 2) (1, 8) (3, 7) (4, 11) (5, 9) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/985
(0, 2) (1, 8) (3, 9) (4, 6) (5, 11) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/734
(0, 2) (1, 8) (3, 9) (4, 7) (5, 11) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/792
(0, 2) (1, 8) (3, 9) (4, 10) (5, 11) (6, 7) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/944
(0, 2) (1, 8) (3, 10) (4, 11) (5, 6) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/312
(0, 2) (1, 9) (3, 4) (5, 10) (6, 11) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/645
(0, 2) (1, 9) (3, 5) (4, 7) (6, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/153
(0, 2) (1, 9) (3, 6) (4, 10) (5, 8) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/453
(0, 2) (1, 9) (3, 6) (4, 10) (5, 11) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/788
(0, 2) (1, 9) (3, 7) (4, 5) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/428
(0, 2) (1, 9) (3, 7) (4, 10) (5, 8) (6, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/982
(0, 2) (1, 9) (3, 7) (4, 11) (5, 10) (6, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/417
(0, 2) (1, 9) (3, 8) (4, 7) (5, 11) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/124
(0, 2) (1, 9) (3, 10) (4, 5) (6, 7) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/375
(0, 2) (1, 9) (3, 10) (4, 5) (6, 8) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/857
(0, 2) (1, 9) (3, 11) (4, 6) (5, 8) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/802
(0, 2) (1, 9) (3, 11) (4, 7) (5, 6) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/464
(0, 2) (1, 10) (3, 4) (5, 8) (6, 11) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/710
(0, 2) (1, 10) (3, 5) (4, 6) (7, 8) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/822
(0, 2) (1, 10) (3, 6) (4, 5) (7, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/855
(0, 2) (1, 10) (3, 7) (4, 8) (5, 6) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/586
(0, 2) (1, 10) (3, 8) (4, 7) (5, 9) (6, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/700
(0, 2) (1, 10) (3, 9) (4, 5) (6, 11) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/261
(0, 2) (1, 10) (3, 9) (4, 6) (5, 7) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/366
(0, 2) (1, 10) (3, 9) (4, 6) (5, 8) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/361
(0, 2) (1, 10) (3, 11) (4, 6) (5, 9) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/585
(0, 2) (1, 10) (3, 11) (4, 9) (5, 7) (6, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/623
(0, 2) (1, 11) (3, 4) (5, 10) (6, 7) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/492
(0, 2) (1, 11) (3, 5) (4, 6) (7, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/768
(0, 2) (1, 11) (3, 6) (4, 5) (7, 10) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/377
(0, 2) (1, 11) (3, 7) (4, 5) (6, 8) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/439
(0, 2) (1, 11) (3, 7) (4, 6) (5, 8) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/720
(0, 2) (1, 11) (3, 7) (4, 6) (5, 9) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/601
(0, 2) (1, 11) (3, 7) (4, 8) (5, 6) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/616
(0, 2) (1, 11) (3, 8) (4, 7) (5, 9) (6, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/527
(0, 2) (1, 11) (3, 9) (4, 7) (5, 6) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/154
(0, 2) (1, 11) (3, 10) (4, 8) (5, 6) (7, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/789
(0, 2) (1, 11) (3, 10) (4, 8) (5, 9) (6, 7) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/522
(0, 3) (1, 2) (4, 5) (6, 8) (7, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/531
(0, 3) (1, 2) (4, 5) (6, 9) (7, 10) (8, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/245
(0, 3) (1, 2) (4, 5) (6, 10) (7, 8) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/889
(0, 3) (1, 2) (4, 6) (5, 8) (7, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/981
(0, 3) (1, 2) (4, 7) (5, 9) (6, 8) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/964
(0, 3) (1, 2) (4, 7) (5, 10) (6, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/602
(0, 3) (1, 2) (4, 8) (5, 6) (7, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/717
(0, 3) (1, 2) (4, 8) (5, 9) (6, 7) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/431
(0, 3) (1, 2) (4, 8) (5, 11) (6, 9) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/184
(0, 3) (1, 2) (4, 9) (5, 7) (6, 8) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/840
(0, 3) (1, 2) (4, 9) (5, 8) (6, 7) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/628
(0, 3) (1, 2) (4, 10) (5, 7) (6, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/835
(0, 3) (1, 2) (4, 10) (5, 8) (6, 7) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/107
(0, 3) (1, 2) (4, 10) (5, 11) (6, 9) (7, 8) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/172
(0, 3) (1, 2) (4, 11) (5, 8) (6, 9) (7, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/534
(0, 3) (1, 4) (2, 6) (5, 7) (8, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/387
(0, 3) (1, 4) (2, 6) (5, 7) (8, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/347
(0, 3) (1, 4) (2, 6) (5, 10) (7, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/739
(0, 3) (1, 4) (2, 7) (5, 6) (8, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/188
(0, 3) (1, 4) (2, 7) (5, 8) (6, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/298
(0, 3) (1, 4) (2, 7) (5, 8) (6, 10) (9, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/846
(0, 3) (1, 4) (2, 7) (5, 8) (6, 11) (9, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/767
(0, 3) (1, 4) (2, 7) (5, 10) (6, 11) (8, 9) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/825
(0, 3) (1, 4) (2, 8) (5, 7) (6, 9) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/103
(0, 3) (1, 4) (2, 8) (5, 9) (6, 7) (10, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/376
(0, 3) (1, 4) (2, 9) (5, 7) (6, 11) (8, 10) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/159
(0, 3) (1, 4) (2, 9) (5, 8) (6, 10) (7, 11) <-- /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/237
