(0, 3) (1, 9) (2, 8) (4, 7) (5, 10) (6, 11), 0.8602707006369427, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/41
(0, 3) (1, 11) (2, 9) (4, 8) (5, 6) (7, 10), 0.7516918789808917, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/43
(0, 6) (1, 5) (2, 11) (3, 4) (7, 8) (9, 10), 0.7492038216560509, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/95
(0, 2) (1, 3) (4, 5) (6, 10) (7, 8) (9, 11), 0.747312898089172, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/14
(0, 6) (1, 2) (3, 8) (4, 5) (7, 10) (9, 11), 0.7452229299363057, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/91
(0, 1) (2, 5) (3, 11) (4, 9) (6, 10) (7, 8), 0.736265923566879, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/4
(0, 4) (1, 6) (2, 8) (3, 11) (5, 9) (7, 10), 0.7319864649681529, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/55
(0, 1) (2, 5) (3, 4) (6, 8) (7, 10) (9, 11), 0.7192476114649682, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/2
(0, 2) (1, 6) (3, 5) (4, 7) (8, 10) (9, 11), 0.7140724522292994, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/17
(0, 4) (1, 10) (2, 8) (3, 9) (5, 11) (6, 7), 0.7082006369426752, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/64
(0, 5) (1, 8) (2, 6) (3, 11) (4, 9) (7, 10), 0.6889928343949044, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/85
(0, 3) (1, 6) (2, 4) (5, 7) (8, 9) (10, 11), 0.5132364649681529, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/305
(0, 6) (1, 3) (2, 4) (5, 11) (7, 10) (8, 9), 0.5131369426751592, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/592
(0, 7) (1, 10) (2, 3) (4, 11) (5, 9) (6, 8), 0.5130374203821656, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/384
(0, 3) (1, 4) (2, 9) (5, 11) (6, 8) (7, 10), 0.5128383757961783, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/657
(0, 6) (1, 8) (2, 9) (3, 5) (4, 11) (7, 10), 0.5120421974522293, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/255
(0, 8) (1, 3) (2, 5) (4, 11) (6, 7) (9, 10), 0.511843152866242, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/934
(0, 6) (1, 10) (2, 3) (4, 5) (7, 11) (8, 9), 0.5114450636942676, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/437
(0, 3) (1, 7) (2, 10) (4, 11) (5, 9) (6, 8), 0.5108479299363057, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/691
(0, 2) (1, 11) (3, 8) (4, 7) (5, 9) (6, 10), 0.5107484076433121, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/527
(0, 6) (1, 3) (2, 10) (4, 11) (5, 7) (8, 9), 0.5106488853503185, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/701
(0, 3) (1, 2) (4, 9) (5, 7) (6, 8) (10, 11), 0.5106488853503185, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/840
(0, 4) (1, 7) (2, 5) (3, 11) (6, 8) (9, 10), 0.5105493630573248, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/520
(0, 11) (1, 6) (2, 4) (3, 8) (5, 7) (9, 10), 0.5105493630573248, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/860
(0, 10) (1, 3) (2, 4) (5, 8) (6, 9) (7, 11), 0.5105493630573248, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/970
(0, 2) (1, 7) (3, 8) (4, 10) (5, 11) (6, 9), 0.509952229299363, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/22
(0, 1) (2, 3) (4, 11) (5, 9) (6, 8) (7, 10), 0.509952229299363, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/368
(0, 3) (1, 5) (2, 4) (6, 10) (7, 11) (8, 9), 0.5098527070063694, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/749
(0, 11) (1, 3) (2, 10) (4, 7) (5, 8) (6, 9), 0.5097531847133758, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/106
(0, 4) (1, 7) (2, 9) (3, 11) (5, 10) (6, 8), 0.5097531847133758, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/174
(0, 3) (1, 11) (2, 4) (5, 10) (6, 7) (8, 9), 0.5097531847133758, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/747
(0, 6) (1, 3) (2, 9) (4, 8) (5, 11) (7, 10), 0.5096536624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/148
(0, 4) (1, 6) (2, 3) (5, 9) (7, 10) (8, 11), 0.5096536624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/160
(0, 4) (1, 7) (2, 5) (3, 8) (6, 9) (10, 11), 0.5096536624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/212
(0, 7) (1, 6) (2, 5) (3, 8) (4, 11) (9, 10), 0.5096536624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/314
(0, 9) (1, 7) (2, 3) (4, 11) (5, 10) (6, 8), 0.5096536624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/434
(0, 5) (1, 11) (2, 9) (3, 6) (4, 8) (7, 10), 0.5094546178343949, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/816
(0, 5) (1, 10) (2, 4) (3, 6) (7, 11) (8, 9), 0.5094546178343949, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/834
(0, 11) (1, 8) (2, 5) (3, 9) (4, 7) (6, 10), 0.5092555732484076, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/117
(0, 3) (1, 4) (2, 8) (5, 9) (6, 7) (10, 11), 0.5092555732484076, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/376
(0, 5) (1, 6) (2, 3) (4, 10) (7, 11) (8, 9), 0.509156050955414, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/709
(0, 11) (1, 7) (2, 5) (3, 6) (4, 8) (9, 10), 0.5090565286624203, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/856
(0, 11) (1, 3) (2, 5) (4, 7) (6, 10) (8, 9), 0.5089570063694268, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/162
(0, 8) (1, 7) (2, 4) (3, 5) (6, 10) (9, 11), 0.5087579617834395, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/693
(0, 5) (1, 7) (2, 4) (3, 6) (8, 10) (9, 11), 0.5087579617834395, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/854
(0, 4) (1, 8) (2, 5) (3, 11) (6, 10) (7, 9), 0.5085589171974523, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/146
(0, 4) (1, 8) (2, 5) (3, 9) (6, 10) (7, 11), 0.5085589171974523, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/308
(0, 8) (1, 9) (2, 3) (4, 6) (5, 11) (7, 10), 0.5085589171974523, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/406
(0, 4) (1, 8) (2, 11) (3, 5) (6, 10) (7, 9), 0.5085589171974523, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/750
(0, 5) (1, 7) (2, 10) (3, 6) (4, 8) (9, 11), 0.5084593949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/202
(0, 4) (1, 7) (2, 3) (5, 9) (6, 8) (10, 11), 0.5082603503184714, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/130
(0, 8) (1, 10) (2, 9) (3, 7) (4, 11) (5, 6), 0.5082603503184714, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/458
(0, 11) (1, 3) (2, 5) (4, 8) (6, 10) (7, 9), 0.5082603503184714, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/549
(0, 10) (1, 8) (2, 3) (4, 11) (5, 7) (6, 9), 0.5081608280254777, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/795
(0, 3) (1, 4) (2, 9) (5, 8) (6, 10) (7, 11), 0.5079617834394905, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/237
(0, 3) (1, 6) (2, 5) (4, 11) (7, 8) (9, 10), 0.5079617834394905, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/664
(0, 8) (1, 7) (2, 11) (3, 10) (4, 6) (5, 9), 0.5079617834394905, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/873
(0, 5) (1, 2) (3, 10) (4, 6) (7, 11) (8, 9), 0.5078622611464968, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/978
(0, 8) (1, 10) (2, 7) (3, 6) (4, 5) (9, 11), 0.5076632165605095, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/599
(0, 9) (1, 3) (2, 11) (4, 7) (5, 8) (6, 10), 0.5075636942675159, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/427
(0, 8) (1, 3) (2, 5) (4, 6) (7, 11) (9, 10), 0.5073646496815286, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/510
(0, 3) (1, 2) (4, 5) (6, 8) (7, 9) (10, 11), 0.5073646496815286, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/531
(0, 3) (1, 11) (2, 10) (4, 7) (5, 9) (6, 8), 0.5073646496815286, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/987
(0, 8) (1, 6) (2, 5) (3, 7) (4, 9) (10, 11), 0.507265127388535, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/313
(0, 11) (1, 10) (2, 5) (3, 8) (4, 7) (6, 9), 0.507265127388535, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/798
(0, 4) (1, 2) (3, 8) (5, 7) (6, 9) (10, 11), 0.5071656050955414, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/496
(0, 3) (1, 5) (2, 4) (6, 11) (7, 10) (8, 9), 0.5071656050955414, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/654
(0, 3) (1, 2) (4, 7) (5, 9) (6, 8) (10, 11), 0.5071656050955414, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/964
(0, 3) (1, 9) (2, 4) (5, 10) (6, 8) (7, 11), 0.5070660828025477, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/39
(0, 5) (1, 7) (2, 9) (3, 6) (4, 11) (8, 10), 0.5070660828025477, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/738
(0, 7) (1, 6) (2, 4) (3, 8) (5, 9) (10, 11), 0.5070660828025477, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/877
(0, 3) (1, 2) (4, 5) (6, 10) (7, 8) (9, 11), 0.5070660828025477, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/889
(0, 8) (1, 4) (2, 10) (3, 6) (5, 9) (7, 11), 0.5070660828025477, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/938
(0, 5) (1, 4) (2, 3) (6, 7) (8, 9) (10, 11), 0.5069665605095541, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/277
(0, 11) (1, 3) (2, 10) (4, 8) (5, 7) (6, 9), 0.5069665605095541, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/481
(0, 8) (1, 2) (3, 10) (4, 6) (5, 7) (9, 11), 0.5069665605095541, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/644
(0, 4) (1, 11) (2, 10) (3, 7) (5, 9) (6, 8), 0.5068670382165605, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/891
(0, 5) (1, 8) (2, 4) (3, 11) (6, 10) (7, 9), 0.5068670382165605, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/989
(0, 10) (1, 7) (2, 9) (3, 6) (4, 8) (5, 11), 0.5067675159235668, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/292
(0, 3) (1, 4) (2, 10) (5, 8) (6, 11) (7, 9), 0.5067675159235668, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/521
(0, 9) (1, 10) (2, 4) (3, 6) (5, 8) (7, 11), 0.5066679936305732, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/244
(0, 8) (1, 3) (2, 11) (4, 6) (5, 9) (7, 10), 0.5066679936305732, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/703
(0, 2) (1, 10) (3, 6) (4, 5) (7, 11) (8, 9), 0.5066679936305732, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/855
(0, 4) (1, 3) (2, 10) (5, 9) (6, 8) (7, 11), 0.5065684713375797, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/179
(0, 7) (1, 3) (2, 4) (5, 10) (6, 11) (8, 9), 0.5065684713375797, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/362
(0, 10) (1, 5) (2, 4) (3, 8) (6, 7) (9, 11), 0.5065684713375797, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/363
(0, 4) (1, 3) (2, 5) (6, 8) (7, 11) (9, 10), 0.5065684713375797, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/608
(0, 4) (1, 7) (2, 8) (3, 6) (5, 10) (9, 11), 0.5065684713375797, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/670
(0, 2) (1, 6) (3, 8) (4, 11) (5, 7) (9, 10), 0.506468949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/19
(0, 4) (1, 7) (2, 9) (3, 6) (5, 11) (8, 10), 0.506468949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/60
(0, 2) (1, 6) (3, 8) (4, 11) (5, 7) (9, 10), 0.506468949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/175
(0, 3) (1, 7) (2, 10) (4, 11) (5, 6) (8, 9), 0.506468949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/725
(0, 4) (1, 10) (2, 9) (3, 8) (5, 7) (6, 11), 0.506468949044586, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/988
(0, 4) (1, 10) (2, 5) (3, 9) (6, 8) (7, 11), 0.5063694267515924, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/113
(0, 6) (1, 8) (2, 4) (3, 11) (5, 9) (7, 10), 0.5063694267515924, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/268
(0, 7) (1, 8) (2, 4) (3, 6) (5, 10) (9, 11), 0.5063694267515924, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/744
(0, 4) (1, 2) (3, 5) (6, 8) (7, 9) (10, 11), 0.5063694267515924, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/794
(0, 3) (1, 4) (2, 7) (5, 8) (6, 10) (9, 11), 0.5063694267515924, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/846
(0, 5) (1, 2) (3, 7) (4, 9) (6, 8) (10, 11), 0.5062699044585988, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/70
(0, 11) (1, 10) (2, 5) (3, 8) (4, 6) (7, 9), 0.5062699044585988, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/303
(0, 1) (2, 3) (4, 11) (5, 7) (6, 10) (8, 9), 0.5062699044585988, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/396
(0, 3) (1, 4) (2, 10) (5, 9) (6, 11) (7, 8), 0.5062699044585988, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/463
(0, 11) (1, 4) (2, 8) (3, 6) (5, 7) (9, 10), 0.5061703821656051, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/143
(0, 4) (1, 10) (2, 5) (3, 8) (6, 7) (9, 11), 0.5061703821656051, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/365
(0, 11) (1, 8) (2, 4) (3, 5) (6, 9) (7, 10), 0.5061703821656051, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/400
(0, 11) (1, 10) (2, 8) (3, 6) (4, 9) (5, 7), 0.5059713375796179, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/109
(0, 6) (1, 8) (2, 4) (3, 9) (5, 11) (7, 10), 0.5059713375796179, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/286
(0, 10) (1, 11) (2, 5) (3, 8) (4, 9) (6, 7), 0.5059713375796179, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/893
(0, 4) (1, 11) (2, 5) (3, 9) (6, 8) (7, 10), 0.5058718152866242, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/66
(0, 10) (1, 5) (2, 4) (3, 6) (7, 11) (8, 9), 0.5058718152866242, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/513
(0, 8) (1, 9) (2, 4) (3, 11) (5, 6) (7, 10), 0.5058718152866242, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/675
(0, 8) (1, 3) (2, 4) (5, 6) (7, 10) (9, 11), 0.5058718152866242, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/707
(0, 1) (2, 4) (3, 11) (5, 7) (6, 10) (8, 9), 0.5057722929936306, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/216
(0, 5) (1, 2) (3, 6) (4, 10) (7, 9) (8, 11), 0.5057722929936306, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/221
(0, 11) (1, 7) (2, 8) (3, 5) (4, 9) (6, 10), 0.505672770700637, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/252
(0, 2) (1, 3) (4, 11) (5, 10) (6, 7) (8, 9), 0.505672770700637, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/929
(0, 7) (1, 6) (2, 3) (4, 11) (5, 9) (8, 10), 0.5055732484076433, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/493
(0, 11) (1, 3) (2, 9) (4, 10) (5, 6) (7, 8), 0.5055732484076433, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/518
(0, 5) (1, 7) (2, 3) (4, 9) (6, 11) (8, 10), 0.5055732484076433, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/570
(0, 7) (1, 8) (2, 4) (3, 5) (6, 10) (9, 11), 0.5055732484076433, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/844
(0, 1) (2, 8) (3, 11) (4, 9) (5, 7) (6, 10), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/8
(0, 5) (1, 10) (2, 3) (4, 9) (6, 8) (7, 11), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/116
(0, 1) (2, 4) (3, 8) (5, 9) (6, 7) (10, 11), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/141
(0, 10) (1, 6) (2, 3) (4, 11) (5, 8) (7, 9), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/581
(0, 10) (1, 4) (2, 5) (3, 11) (6, 7) (8, 9), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/646
(0, 3) (1, 2) (4, 10) (5, 7) (6, 11) (8, 9), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/835
(0, 10) (1, 8) (2, 9) (3, 7) (4, 11) (5, 6), 0.5054737261146497, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/869
(0, 8) (1, 7) (2, 11) (3, 6) (4, 10) (5, 9), 0.5053742038216561, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/344
(0, 8) (1, 2) (3, 5) (4, 7) (6, 10) (9, 11), 0.5053742038216561, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/552
(0, 3) (1, 6) (2, 4) (5, 8) (7, 9) (10, 11), 0.5053742038216561, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/937
(0, 6) (1, 10) (2, 3) (4, 9) (5, 8) (7, 11), 0.5052746815286624, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/273
(0, 4) (1, 6) (2, 11) (3, 10) (5, 9) (7, 8), 0.5052746815286624, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/529
(0, 3) (1, 11) (2, 9) (4, 10) (5, 7) (6, 8), 0.5052746815286624, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/735
(0, 5) (1, 9) (2, 4) (3, 6) (7, 11) (8, 10), 0.5052746815286624, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/861
(0, 8) (1, 7) (2, 4) (3, 10) (5, 11) (6, 9), 0.5051751592356688, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/477
(0, 3) (1, 6) (2, 11) (4, 9) (5, 8) (7, 10), 0.5051751592356688, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/878
(0, 3) (1, 6) (2, 10) (4, 9) (5, 8) (7, 11), 0.5050756369426752, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/267
(0, 1) (2, 3) (4, 5) (6, 8) (7, 10) (9, 11), 0.5050756369426752, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/831
(0, 4) (1, 2) (3, 5) (6, 10) (7, 11) (8, 9), 0.5050756369426752, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/832
(0, 7) (1, 11) (2, 4) (3, 10) (5, 9) (6, 8), 0.5050756369426752, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/864
(0, 7) (1, 2) (3, 5) (4, 9) (6, 10) (8, 11), 0.5049761146496815, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/415
(0, 11) (1, 3) (2, 4) (5, 6) (7, 10) (8, 9), 0.5049761146496815, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/573
(0, 11) (1, 7) (2, 4) (3, 5) (6, 9) (8, 10), 0.5049761146496815, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/740
(0, 3) (1, 9) (2, 5) (4, 7) (6, 10) (8, 11), 0.5049761146496815, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/888
(0, 3) (1, 11) (2, 7) (4, 8) (5, 9) (6, 10), 0.5048765923566879, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/655
(0, 1) (2, 5) (3, 6) (4, 10) (7, 11) (8, 9), 0.5048765923566879, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/722
(0, 3) (1, 4) (2, 8) (5, 7) (6, 9) (10, 11), 0.5047770700636943, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/103
(0, 1) (2, 6) (3, 8) (4, 11) (5, 9) (7, 10), 0.5047770700636943, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/651
(0, 3) (1, 7) (2, 9) (4, 5) (6, 10) (8, 11), 0.5047770700636943, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/897
(0, 5) (1, 7) (2, 11) (3, 8) (4, 10) (6, 9), 0.5046775477707006, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/84
